question,dataset_score,chatbot_score
6f5089fb12006cd78afab486405bdce9,9.0,6.0
b26b704ed34407dd3d282a0cd94c21a0,9.0,5.0
6e178ca422fcb9ecbbe8816edc38d3d2,8.0,6.0
31805fe8d0155628f9cd6ac807eb98c5,8.0,7.0
87c93fb5d6226bf3477ef08eda82c6b0,8.0,5.0
b45eea2c3b1914aa581cde3fb29101cb,10.0,7.0
8db3f55294159b10b7b4e744177a08fb,7.0,3.0
0e88b39b8e93505e197b55b4666c4d47,9.0,8.0
669817fe8675335d641db31310200eba,6.0,8.0
919753eead747dfcc3ede261b9ac8e1a,8.0,7.0
2d0e4dcda1b7a2aa7a9c743ba562b319,9.0,8.0
9878c47cf23c0df7fb79f6a4cb36335d,7.0,8.0
695dc4a267e7962e17993411cd520a8b,8.0,7.0
54abf99467e9be7644e6ce1c917d526d,6.0,8.0
c8c1e39c71aaeb48d95c84c67240ac4a,8.0,6.0
9735a98b19651ba0e5e106aadd79cc50,8.0,5.0
7e52b67b85668dde7f9b84b0242b46dd,9.0,8.0
e95c343f5de2c255511ec7b288d2da86,8.0,7.0
e361e23f864965989eb7fb6a27960233,8.0,6.0
b00043bc7bcbd18ef2ab6c49ef7008e1,8.0,5.0
4128d370584558be18a7dc4886a6c683,8.0,6.0
8736c6b020707c8f902efba50e3a5aa7,9.0,6.0
0950dfa4d4907ee687c639f62e0fac67,8.0,3.0
a09a60ee5a9fa743800a1d896655480a,8.0,7.0
1576cd4559236dc9cfffd79af8bd8539,8.0,7.0
120f14ac54728b22ff522fa29ab6ef18,8.0,6.0
5a367f8cdab4c01868b3c00ce4bbf384,9.0,7.0
52be08530f02e952b88103479195af8f,7.0,8.0
a72f12de100ddedb278bf2e43602ea53,8.0,7.0
6169e3c3d7a2a7afbc2a31e03f890cd7,8.0,9.0
3564d00760c391eaac25c6b70def7c45,9.0,5.0
1119a70fc7b7b9c0175d2fed87916998,9.0,8.0
0e27655738816c9cad221dae02fd55bb,8.0,6.0
04c5bd694330d34c0e80ab615d509182,7.0,6.0
c463666b7ee496e62cdcbf28992f53b7,8.0,7.0
a4d5b54d0f49d350ee8db62554f6064c,9.0,6.0
4e75bd3873dbdf9aa06fc359bb41d210,9.0,9.0
be53d49c4ef33d6d4fe7d41d70604c46,8.0,7.0
f95f3d8fa1de77e62bc7faa9d0b4df68,9.0,7.5
f93a7d9bf43b7ab7ead41d80c9b537d0,9.0,4.0
52c99a7809c30e787236ecbfde37c2c0,8.0,2.0
de00d5044e6d4f8f82f6957e94f60c41,10.0,3.0
ea2162cd164c77147696cf8c53d1975b,8.0,6.0
75eb2be24db44a46b7d13d633a789263,8.0,5.0
e624ae16725c3d8d89022a45bb0db5a2,9.0,6.0
007b6dbdf37edff0fe8163112fbc3a01,7.0,4.0
83caa042f31adc80ef0bccdaadb08044,8.0,2.0
d25ca487f15dfc6ea4b3913b59534d3f,8.0,5.0
63ee331f3c0e26b913af1215b0f8e0c1,9.0,7.0
bff6e64845d72859750da6e36d1e99bf,8.0,5.0
835369439179d1eb91b457d66ee2f3d2,8.0,6.0
ed6f3fba185aaa6e74a4dcbfd70af8f6,8.0,6.0
0fac368a4621d20bf36f51e374df0b10,8.0,5.0
9f25e9821eb635eb6f5dcae666e1523f,8.0,7.0
